id,label,hemisphere,lobe
1,lateralorbitofrontal,RH,frontal
2,parsorbitalis,RH,frontal
3,frontalpole,RH,frontal
4,medialorbitofrontal,RH,frontal
5,parstriangularis,RH,frontal
6,parsopercularis,RH,frontal
7,rostralmiddlefrontal,RH,frontal
8,superiorfrontal,RH,frontal
9,caudalmiddlefrontal,RH,frontal
10,precentral,RH,frontal
11,paracentral,RH,frontal/parietal
12,rostralanteriorcingulate,RH,frontal
13,caudalanteriorcingulate,RH,frontal
14,posteriorcingulate,RH,frontal
15,isthmuscingulate,RH,frontal
16,postcentral,RH,parietal
17,supramarginal,RH,frontal
18,superiorparietal,RH,parietal
19,inferiorparietal,RH,parietal
20,precuneus,RH,parietal
21,cuneus,RH,occipital
22,pericalcarine,RH,occipital
23,lateraloccipital,RH,occipital
24,lingual,RH,temporal
25,fusiform,RH,temporal
26,parahippocampal,RH,lymbic
27,entorhinal,RH,temporal
28,temporalpole,RH,temporal
29,inferiortemporal,RH,temporal
30,middletemporal,RH,temporal
31,bankssts,RH,temporal
32,superiortemporal,RH,temporal
33,transversetemporal,RH,temporal
34,insula,RH,frontal
35,thalamusproper,RH,thalamus
36,caudate,RH,basalganglia
37,putamen,RH,basalganglia
38,pallidum,RH,basalganglia
39,accumbensarea,RH,basalganglia
40,hyppocampus,RH,lymbic
41,amygdala,RH,lymbic
42,lateralorbitofrontal,LH,frontal
43,parsorbitalis,LH,frontal
44,frontalpole,LH,frontal
45,medialorbitofrontal,LH,frontal
46,parstriangularis,LH,frontal
47,parsopercularis,LH,frontal
48,rostralmiddlefrontal,LH,frontal
49,superiorfrontal,LH,frontal
50,caudalmiddlefrontal,LH,frontal
51,precentral,LH,frontal
52,paracentral,LH,frontal/parietal
53,rostralanteriorcingulate,LH,frontal
54,caudalanteriorcingulate,LH,frontal
55,posteriorcingulate,LH,frontal
56,isthmuscingulate,LH,frontal
57,postcentral,LH,parietal
58,supramarginal,LH,frontal
59,superiorparietal,LH,parietal
60,inferiorparietal,LH,parietal
61,precuneus,LH,parietal
62,cuneus,LH,occipital
63,pericalcarine,LH,occipital
64,lateraloccipital,LH,occipital
65,lingual,LH,temporal
66,fusiform,LH,temporal
67,parahippocampal,LH,lymbic
68,entorhinal,LH,temporal
69,temporalpole,LH,temporal
70,inferiortemporal,LH,temporal
71,middletemporal,LH,temporal
72,bankssts,LH,temporal
73,superiortemporal,LH,temporal
74,transversetemporal,LH,temporal
75,insula,LH,frontal
76,thalamusproper,LH,thalamus
77,caudate,LH,basalganglia
78,putamen,LH,basalganglia
79,pallidum,LH,basalganglia
80,accumbensarea,LH,basalganglia
81,hyppocampus,LH,lymbic
82,amygdala,LH,lymbic
83,brainstem,LH,brainstem
